0.00230211, -0.63099
0, 0
-1.31271, -0.697838
0, 0
0, 0
0, 0
66.5964, 55.8468
0, 0
-5.83173, 21.0944
0, 0
-17.179, -31.963
0, 0
0, 0
0, 0
-37.2809, -90.0463
0, 0
-0.208955, -5.31498
0, 0
-1.25538, -0.885351
0, 0
0, 0
0, 0
-3.37735, 13.3696
0, 0
-60.5576, 13.0444
0, 0
-11.4044, 33.9815
0, 0
0, 0
0, 0
-55.8484, 29.2753
0, 0
-2.13911, -1.03125
0, 0
-0.138012, -0.160783
0, 0
0, 0
0, 0
-1.19471, 5.61613
0, 0
1.3744, -2.89574
0, 0
-1.91254, 0.265102
0, 0
0, 0
0, 0
-14.4645, 1.49261
0, 0
2.10534, 0.459472
0, 0
-0.348671, -0.985431
0, 0
0, 0
0, 0
-8.85005, 3.80791
0, 0
4.34264, 10.2009
0, 0
7.2472, -6.24625
0, 0
0, 0
0, 0
-41.5054, -0.956643
0, 0
-0.00230211, 0.63099
0, 0
1.39782, 0.506257
0, 0
0, 0
0, 0
13.067, -8.86225
0, 0
-21.4645, -27.6067
0, 0
-13.1528, 11.4511
0, 0
0, 0
0, 0
-70.5314, 4.56637
0, 0
-1.4688, 5.11227
0, 0
1.22195, 0.930959
0, 0
0, 0
0, 0
-22.5028, -4.05721
0, 0
64.193, 101.811
0, 0
23.5496, -2.59502
0, 0
0, 0
0, 0
73.0283, 62.8193
0, 0
2.17561, 0.951815
0, 0
0.108492, 0.18201
0, 0
0, 0
0, 0
2.81212, -5.6358
0, 0
0.724698, 6.47698
0, 0
1.88497, 6.06034
0, 0
0, 0
0, 0
-6.16867, 22.9628
0, 0
-1.94221, -0.933496
0, 0
-0.72806, 0.750049
0, 0
0, 0
0, 0
-11.1969, 13.624
0, 0
10.675, -13.7277
0, 0
5.26281, -7.75991
0, 0
0, 0
0, 0
13.9591, -3.65552
0, 0
0.0131838, 0.630856
0, 0
1.47107, 0.214807
0, 0
0, 0
0, 0
10.3436, 24.4842
0, 0
6.10068, 5.75728
0, 0
-2.93066, 1.31814
0, 0
0, 0
0, 0
36.453, -51.363
0, 0
0.241563, 5.3136
0, 0
1.29224, 0.830631
0, 0
0, 0
0, 0
36.7176, 12.37
0, 0
9.27589, -23.7791
0, 0
6.73208, -2.999
0, 0
0, 0
0, 0
-16.0848, 5.833
0, 0
2.12629, 1.05742
0, 0
0.115118, 0.177894
0, 0
0, 0
0, 0
8.77707, 5.07913
0, 0
4.72151, -6.03562
0, 0
-2.09055, 1.61271
0, 0
0, 0
0, 0
5.44931, 6.19099
0, 0
-1.99598, 0.812185
0, 0
-0.0613819, 1.04349
0, 0
0, 0
0, 0
-11.8434, 14.9422
0, 0
9.80299, 5.56509
0, 0
9.75406, -26.5645
0, 0
0, 0
0, 0
-1.36846, 13.7119
0, 0
-0.0131838, -0.630856
0, 0
-1.29636, 0.727765
0, 0
0, 0
0, 0
3.01895, -0.364281
0, 0
-14.3326, -4.80739
0, 0
3.61699, 3.77935
0, 0
0, 0
0, 0
-22.9045, -13.501
0, 0
1.18439, -5.18555
0, 0
-1.47772, -0.419747
0, 0
0, 0
0, 0
5.30574, -27.7254
0, 0
74.3546, -60.4763
0, 0
-2.3459, -10.1986
0, 0
0, 0
0, 0
-2.6527, -5.77007
0, 0
-2.17561, -0.951815
0, 0
0.101483, -0.18601
0, 0
0, 0
0, 0
3.51653, 3.51627
0, 0
6.14366, -2.45341
0, 0
4.57567, -1.70338
0, 0
0, 0
0, 0
20.7739, -2.44312
0, 0
1.65718, 1.37744
0, 0
0.759595, -0.718096
0, 0
0, 0
0, 0
5.75621, 3.83846
0, 0
13.1396, -70.0314
0, 0
-4.06664, -5.13761
0, 0
0, 0
0, 0
12.3575, -3.07611
0, 0
-0.00230211, 0.63099
0, 0
1.4009, 0.497671
0, 0
0, 0
